s,a,r,s'
28,1,0,18
30,2,0,30
29,3,0,39
26,4,0,36
36,4,0,46
12,3,0,13
13,1,0,3
3,2,0,4
24,3,0,25
20,2,0,20
20,4,0,19
21,2,0,22
31,3,0,41
32,1,0,31
51,2,0,41
52,1,0,53
45,3,0,35
34,2,0,35
36,2,0,37
38,2,0,37
27,2,0,37
89,2,0,90
89,4,0,79
77,4,0,67
87,4,0,88
85,1,0,95
95,4,0,85
44,1,0,45
54,4,0,55
59,2,0,58
58,1,0,57
90,1,0,80
70,3,0,60
69,1,0,68
58,1,0,59
29,2,0,28
70,1,0,80
78,2,10,79
87,4,0,77
47,3,0,57
59,4,0,49
39,4,0,49
29,1,0,28
62,1,0,63
44,4,0,54
17,3,0,27
28,4,0,18
9,4,0,9
20,4,0,19
8,1,0,18
5,2,0,6
6,4,0,6
9,3,0,19
9,3,0,19
17,4,0,18
9,4,0,9
46,4,0,36
46,2,0,47
45,3,0,35
30,1,0,29
39,1,0,38
46,1,0,36
49,2,0,50
59,3,0,69
45,1,0,55
47,4,0,37
27,3,0,37
48,4,0,49
19,3,0,29
38,4,0,28
5,2,0,4
15,4,0,5
15,3,0,25
6,4,0,6
28,4,0,18
26,4,0,16
16,2,0,17
18,3,0,28
17,4,0,7
35,1,0,25
19,1,0,18
26,1,0,25
54,3,0,64
87,4,0,77
76,3,0,86
86,2,0,85
84,4,0,74
20,3,0,30
30,3,0,40
29,3,0,39
28,4,0,18
18,1,0,17
27,4,0,17
8,2,0,9
18,3,0,17
34,1,0,44
22,2,0,21
1,1,0,1
11,2,0,12
1,4,0,1
1,2,0,11
47,3,0,57
57,3,0,67
67,1,0,66
77,4,0,78
76,2,0,77
78,4,10,68
86,1,0,85
82,1,0,81
81,1,0,81
85,1,0,84
32,3,0,42
22,2,0,23
35,3,0,45
55,1,0,54
33,1,0,32
13,3,0,23
23,1,3,22
12,4,0,2
65,3,0,75
94,4,0,84
86,3,0,96
96,1,0,86
65,1,0,66
58,3,0,48
28,4,0,18
8,3,0,7
56,1,0,55
13,3,0,23
23,2,3,13
12,3,0,11
22,3,0,12
43,3,0,44
47,3,0,57
73,1,0,74
78,1,10,68
68,2,0,69
28,2,0,38
39,2,0,40
50,1,0,60
60,4,0,50
40,2,0,40
38,4,0,28
28,3,0,38
36,2,0,37
84,3,0,94
93,2,0,92
91,3,0,91
63,2,0,64
35,2,0,45
36,4,0,26
16,3,0,15
10,4,0,10
10,4,0,10
10,4,0,10
60,3,0,70
68,1,0,67
60,3,0,50
50,1,0,60
65,3,0,75
83,3,0,82
82,1,0,81
72,1,0,71
41,2,0,42
31,1,0,31
1,3,0,11
11,4,0,1
21,2,0,11
21,1,0,21
21,3,0,31
41,1,0,41
61,2,0,62
29,3,0,39
38,4,0,37
48,1,0,58
58,2,0,59
68,1,0,58
30,4,0,20
56,2,0,57
48,3,0,58
40,1,0,39
39,2,0,40
20,2,0,20
9,3,0,19
30,4,0,20
29,2,0,30
39,2,0,29
78,3,10,79
50,1,0,60
24,4,0,14
3,3,0,13
23,4,3,13
6,2,0,7
50,1,0,49
48,2,0,38
47,1,0,46
95,2,0,96
85,4,0,86
74,4,0,64
74,4,0,75
77,3,0,87
68,2,0,58
86,1,0,96
97,4,0,96
97,3,0,97
95,4,0,85
93,1,0,92
86,3,0,96
39,2,0,49
80,2,0,80
80,3,0,79
97,4,0,87
86,2,0,87
23,2,3,24
14,3,0,15
6,2,0,7
20,3,0,19
4,3,0,3
34,3,0,35
46,2,0,47
28,1,0,27
40,1,0,39
66,3,0,56
14,4,0,24
24,4,0,14
13,2,0,14
13,3,0,12
2,4,0,2
3,4,0,3
12,2,0,13
2,1,0,1
11,4,0,12
1,3,0,2
4,3,0,5
4,2,0,5
26,1,0,25
25,1,0,24
32,4,0,42
51,3,0,61
71,4,0,72
52,3,0,42
42,3,0,41
31,2,0,41
43,2,0,53
53,2,0,54
84,1,0,83
63,1,0,73
64,2,0,65
56,1,0,57
67,3,0,77
3,1,0,13
73,1,0,72
71,3,0,81
51,3,0,41
51,1,0,51
42,3,0,52
12,2,0,13
80,2,0,80
89,3,0,99
87,1,0,86
97,1,0,96
95,4,0,85
95,2,0,94
94,1,0,95
85,2,0,75
71,1,0,71
72,3,0,82
92,2,0,93
94,1,0,84
15,3,0,14
14,3,0,24
45,2,0,46
61,2,0,62
53,4,0,43
41,2,0,42
21,1,0,21
12,1,0,22
31,3,0,41
5,3,0,15
15,4,0,16
32,4,0,31
35,4,0,34
45,3,0,55
55,2,0,65
64,1,0,65
65,1,0,66
89,4,0,79
79,3,0,78
89,3,0,88
97,4,0,98
85,1,0,84
94,4,0,84
85,4,0,75
75,3,0,85
74,2,0,73
73,4,0,63
26,1,0,36
36,3,0,46
44,1,0,54
54,2,0,64
63,1,0,62
83,1,0,82
82,2,0,72
81,2,0,82
82,4,0,72
62,1,0,61
71,1,0,71
71,1,0,71
88,4,0,78
98,4,0,97
97,3,0,97
99,1,0,98
96,3,0,96
89,3,0,99
89,1,0,90
30,3,0,20
8,1,0,18
29,2,0,30
20,4,0,10
8,3,0,18
10,2,0,10
18,3,0,28
29,1,0,28
50,3,0,60
49,3,0,59
60,4,0,59
64,3,0,74
31,3,0,32
32,4,0,22
2,1,0,12
24,3,0,25
25,3,0,35
17,3,0,18
18,2,0,19
37,3,0,47
11,4,0,1
2,1,0,1
14,1,0,4
34,4,0,24
56,3,0,46
26,1,0,25
25,4,0,24
14,3,0,24
33,1,0,32
24,4,0,14
33,1,0,32
31,3,0,41
62,4,0,63
67,1,0,66
85,1,0,84
94,2,0,84
65,2,0,64
54,3,0,53
51,3,0,41
5,1,0,4
4,3,0,5
19,3,0,29
27,2,0,28
8,4,0,8
9,1,0,8
8,4,0,8
30,2,0,30
38,3,0,48
54,4,0,55
55,2,0,56
36,2,0,37
96,1,0,95
71,3,0,81
72,1,0,71
73,2,0,74
73,1,0,63
83,2,0,84
85,1,0,84
54,4,0,55
64,2,0,65
48,4,0,38
37,3,0,47
57,1,0,56
56,1,0,55
46,2,0,47
27,4,0,17
19,1,0,29
40,1,0,50
59,1,0,58
79,4,0,69
70,3,0,80
80,4,0,70
60,1,0,59
77,3,0,78
78,3,10,88
87,4,0,97
97,4,0,87
3,2,0,2
1,1,0,1
4,3,0,14
45,2,0,46
66,3,0,76
83,3,0,93
93,3,0,93
83,3,0,93
93,4,0,83
38,1,0,39
39,2,0,40
37,3,0,38
36,1,0,37
35,2,0,34
15,1,0,14
15,1,0,25
44,2,0,45
45,4,0,44
54,2,0,55
78,2,10,77
36,2,0,46
3,4,0,3
4,1,0,3
52,2,0,53
4,2,0,5
4,2,0,5
55,3,0,65
75,1,0,65
55,1,0,54
65,2,0,66
46,4,0,36
3,1,0,2
2,1,0,12
12,4,0,2
15,1,0,14
14,2,0,13
11,2,0,1
6,2,0,16
16,3,0,26
5,4,0,5
24,2,0,14
32,1,0,42
34,2,0,24
22,1,0,21
31,2,0,32
82,2,0,83
68,2,0,67
89,1,0,99
40,3,0,50
96,2,0,97
87,3,0,86
95,3,0,95
35,3,0,34
34,4,0,35
49,3,0,48
26,4,0,16
19,4,0,9
10,3,0,9
10,1,0,9
30,1,0,20
20,3,0,30
18,2,0,19
19,4,0,9
9,4,0,9
19,2,0,20
9,2,0,10
29,4,0,19
33,2,0,32
33,1,0,32
32,1,0,31
22,4,0,12
23,1,3,13
23,2,3,24
16,2,0,17
39,1,0,29
29,2,0,30
40,1,0,30
42,2,0,43
43,4,0,33
53,1,0,52
33,4,0,23
32,1,0,42
85,2,0,86
51,2,0,52
23,2,3,33
66,4,0,56
53,3,0,52
13,4,0,3
3,3,0,13
41,1,0,41
61,2,0,71
4,4,0,4
3,4,0,3
42,2,0,43
66,3,0,76
69,1,0,68
70,3,0,69
39,2,0,40
40,1,0,50
30,2,0,30
50,1,0,60
17,2,0,18
7,3,0,17
30,3,0,20
38,1,0,37
20,4,0,10
10,2,0,10
10,3,0,20
29,2,0,30
29,3,0,28
30,2,0,30
59,2,0,49
22,4,0,12
33,2,0,43
52,1,0,62
45,1,0,35
35,3,0,34
32,3,0,42
53,4,0,63
63,2,0,64
95,4,0,94
53,1,0,52
23,3,3,33
45,3,0,55
16,3,0,26
25,2,0,15
14,3,0,24
43,1,0,42
72,3,0,82
81,2,0,91
92,3,0,92
6,1,0,7
6,3,0,5
16,4,0,15
39,4,0,29
20,1,0,10
10,2,0,10
87,4,0,97
97,3,0,97
97,3,0,97
89,3,0,99
76,4,0,75
95,1,0,94
75,4,0,65
75,2,0,76
86,4,0,76
6,1,0,5
7,3,0,17
36,1,0,35
35,1,0,34
40,4,0,30
39,1,0,38
27,1,0,37
49,4,0,59
37,2,0,36
47,3,0,57
78,1,10,79
58,2,0,59
70,4,0,80
60,3,0,50
32,4,0,22
22,4,0,12
13,2,0,14
22,1,0,12
41,4,0,31
11,3,0,21
23,3,3,33
34,3,0,44
34,2,0,35
35,1,0,25
91,3,0,91
61,2,0,62
52,1,0,42
33,1,0,32
12,1,0,11
11,4,0,1
1,1,0,1
13,3,0,3
1,2,0,2
34,4,0,24
48,4,0,47
49,3,0,59
42,4,0,32
32,4,0,33
22,2,0,23
3,3,0,13
13,1,0,12
28,1,0,27
17,4,0,7
18,3,0,8
6,1,0,7
7,4,0,7
35,4,0,25
59,1,0,58
49,2,0,50
33,4,0,34
20,2,0,20
8,4,0,8
6,1,0,5
20,2,0,20
20,2,0,20
19,3,0,29
20,3,0,30
70,1,0,69
67,2,0,77
67,2,0,66
7,2,0,8
19,1,0,18
10,3,0,20
40,3,0,50
50,2,0,50
20,1,0,30
30,4,0,20
9,3,0,19
9,4,0,9
9,1,0,8
8,4,0,8
30,1,0,29
59,4,0,69
76,2,0,77
79,3,0,80
98,3,0,98
96,4,0,86
86,3,0,96
97,1,0,87
87,2,0,97
97,3,0,97
67,1,0,66
87,2,0,88
90,3,0,100
96,3,0,96
64,2,0,65
57,3,0,56
83,4,0,73
64,3,0,74
3,3,0,13
2,1,0,3
14,4,0,4
13,3,0,23
34,3,0,44
43,2,0,33
53,4,0,43
61,2,0,62
71,4,0,72
62,1,0,61
83,4,0,73
61,4,0,62
56,2,0,57
36,3,0,46
35,1,0,34
23,4,3,22
22,4,0,21
21,3,0,31
31,4,0,21
21,3,0,31
31,4,0,41
42,2,0,32
22,2,0,23
33,3,0,43
44,4,0,34
33,2,0,34
65,1,0,55
46,4,0,36
6,3,0,16
8,2,0,9
19,2,0,9
18,2,0,19
19,1,0,18
19,3,0,20
50,2,0,50
49,1,0,48
18,2,0,19
19,3,0,29
19,1,0,29
30,2,0,30
40,2,0,40
49,1,0,48
46,1,0,45
36,1,0,35
25,2,0,24
24,4,0,34
43,3,0,53
21,2,0,31
42,3,0,41
11,2,0,1
13,3,0,14
5,2,0,6
76,3,0,86
75,2,0,74
74,4,0,64
51,2,0,52
32,4,0,42
61,1,0,61
61,2,0,62
6,1,0,16
76,1,0,75
93,1,0,92
81,3,0,91
81,3,0,91
91,3,0,91
91,1,0,91
75,4,0,85
33,3,0,34
24,1,0,23
11,4,0,12
11,4,0,1
1,2,0,2
11,1,0,11
1,4,0,1
100,1,0,99
99,3,0,99
77,1,0,78
76,3,0,77
77,1,0,76
75,2,0,65
15,3,0,16
26,4,0,25
14,3,0,15
57,3,0,67
8,1,0,7
8,1,0,18
9,3,0,19
19,2,0,20
10,3,0,20
10,4,0,10
40,1,0,30
40,3,0,50
64,3,0,65
76,4,0,66
78,2,10,68
78,4,10,88
65,2,0,55
54,3,0,64
96,3,0,96
96,4,0,97
95,2,0,94
94,3,0,94
50,1,0,49
39,4,0,38
48,2,0,49
50,3,0,49
60,4,0,59
100,1,0,99
95,1,0,85
54,1,0,53
53,2,0,43
61,1,0,61
95,3,0,95
85,1,0,84
74,3,0,84
75,3,0,74
65,3,0,75
75,3,0,65
46,1,0,45
45,2,0,46
19,3,0,29
30,1,0,29
29,4,0,30
10,1,0,20
10,3,0,20
26,4,0,36
39,1,0,38
58,2,0,59
78,3,10,77
80,1,0,79
89,4,0,99
98,3,0,98
39,2,0,40
30,4,0,20
90,4,0,80
89,4,0,79
60,1,0,50
40,1,0,39
38,4,0,37
37,2,0,27
61,1,0,61
82,1,0,72
82,2,0,83
86,1,0,87
87,3,0,88
88,4,0,78
100,1,0,99
86,3,0,96
85,3,0,95
97,1,0,87
78,2,10,79
80,2,0,80
33,4,0,23
54,4,0,44
43,2,0,42
53,1,0,54
54,3,0,64
54,3,0,64
66,1,0,76
55,4,0,56
56,4,0,57
34,2,0,35
35,4,0,34
57,2,0,58
67,2,0,68
61,3,0,71
62,4,0,63
53,4,0,43
43,4,0,53
51,1,0,51
41,3,0,51
57,1,0,56
56,3,0,46
46,3,0,45
73,1,0,72
24,3,0,14
24,4,0,25
25,4,0,15
14,1,0,4
3,1,0,13
42,2,0,52
93,2,0,94
94,3,0,94
76,4,0,86
51,2,0,52
52,1,0,53
73,1,0,63
53,3,0,63
63,4,0,53
18,4,0,17
37,3,0,47
47,4,0,37
47,1,0,46
88,1,0,78
78,4,10,68
68,1,0,67
83,2,0,84
91,3,0,91
93,2,0,94
94,4,0,95
84,1,0,83
10,2,0,10
29,2,0,30
30,3,0,40
40,4,0,30
30,4,0,20
57,2,0,58
57,3,0,56
85,4,0,75
67,1,0,66
68,3,0,58
69,3,0,79
22,4,0,21
35,2,0,36
46,4,0,56
5,3,0,4
2,4,0,2
4,4,0,4
5,4,0,5
30,1,0,29
58,4,0,48
47,1,0,46
3,2,0,13
23,2,3,33
15,3,0,25
26,1,0,25
25,4,0,35
35,1,0,36
39,2,0,40
29,1,0,39
30,4,0,40
48,1,0,47
98,1,0,97
97,4,0,87
88,4,0,98
99,4,0,89
78,4,10,79
100,1,0,90
88,4,0,78
68,2,0,69
79,3,0,89
49,1,0,50
10,2,0,10
36,3,0,37
48,3,0,47
37,1,0,36
26,1,0,25
4,3,0,14
11,4,0,12
44,1,0,43
44,3,0,45
46,3,0,56
45,4,0,35
35,4,0,25
24,3,0,14
93,2,0,94
97,1,0,96
97,1,0,98
98,3,0,98
47,3,0,57
90,1,0,80
15,2,0,5
15,4,0,16
26,4,0,16
21,3,0,31
15,3,0,25
34,2,0,35
46,1,0,47
47,4,0,37
15,4,0,14
24,2,0,14
5,4,0,5
5,1,0,4
57,3,0,67
77,1,0,76
57,3,0,56
56,3,0,66
70,3,0,80
59,2,0,58
27,2,0,26
25,2,0,15
31,4,0,21
5,4,0,5
11,3,0,12
18,1,0,28
18,3,0,28
59,1,0,58
69,4,0,59
18,3,0,28
26,2,0,36
36,4,0,35
56,3,0,46
45,4,0,35
98,4,0,99
69,2,0,68
67,3,0,77
47,4,0,37
27,1,0,28
28,4,0,27
84,3,0,85
85,2,0,84
81,2,0,91
91,3,0,91
92,3,0,92
62,3,0,72
72,4,0,62
52,2,0,51
52,4,0,42
33,2,0,34
14,4,0,4
49,4,0,50
40,1,0,39
30,2,0,30
19,4,0,9
26,2,0,25
25,3,0,15
6,4,0,6
6,1,0,5
5,4,0,5
5,3,0,6
15,3,0,25
25,2,0,26
27,1,0,17
27,1,0,17
28,2,0,29
29,2,0,39
69,3,0,79
75,2,0,65
93,3,0,93
96,1,0,95
97,2,0,87
84,3,0,94
74,2,0,75
64,3,0,74
94,1,0,93
92,1,0,93
91,2,0,92
92,4,0,82
69,2,0,70
8,4,0,8
18,4,0,8
8,3,0,18
27,1,0,26
27,2,0,28
29,1,0,19
17,2,0,27
26,2,0,27
29,1,0,28
17,4,0,18
46,4,0,36
37,1,0,47
60,2,0,60
38,4,0,39
38,3,0,28
18,2,0,28
35,3,0,45
42,3,0,52
61,2,0,62
61,2,0,62
62,1,0,72
61,3,0,71
64,1,0,63
41,2,0,42
51,3,0,41
72,1,0,73
84,2,0,85
96,4,0,86
95,4,0,85
87,1,0,77
44,3,0,43
11,1,0,11
23,1,3,24
23,4,3,22
23,2,3,24
66,1,0,65
45,1,0,46
47,2,0,48
50,3,0,40
50,3,0,40
63,4,0,53
71,2,0,72
33,4,0,43
26,3,0,27
75,1,0,74
94,4,0,95
86,3,0,85
58,1,0,68
24,4,0,25
36,2,0,37
8,1,0,7
5,4,0,5
37,2,0,38
19,2,0,20
40,4,0,30
30,1,0,40
59,4,0,49
39,4,0,29
17,2,0,27
50,1,0,49
49,4,0,48
48,3,0,58
67,2,0,68
80,3,0,70
73,4,0,74
54,3,0,64
54,4,0,55
42,2,0,43
34,2,0,35
20,1,0,19
28,2,0,29
39,1,0,40
29,3,0,39
12,4,0,2
13,4,0,3
3,2,0,4
5,1,0,4
15,4,0,25
45,3,0,35
35,3,0,45
57,2,0,58
56,3,0,66
66,1,0,65
53,4,0,43
42,2,0,43
56,3,0,66
15,3,0,14
4,2,0,5
1,3,0,11
11,4,0,21
43,2,0,33
65,4,0,75
75,3,0,85
64,2,0,65
100,2,0,100
100,3,0,100
100,4,0,90
96,2,0,86
97,2,0,87
75,2,0,76
66,3,0,76
95,1,0,85
77,4,0,78
84,3,0,94
73,4,0,63
51,3,0,61
61,4,0,62
51,2,0,52
63,3,0,64
52,2,0,42
53,4,0,43
43,4,0,33
33,4,0,34
34,1,0,33
64,2,0,74
53,1,0,52
52,3,0,51
63,3,0,73
73,4,0,83
28,1,0,27
12,1,0,22
29,2,0,30
46,2,0,47
57,4,0,47
88,1,0,87
97,4,0,98
98,4,0,88
60,2,0,60
60,1,0,70
87,4,0,77
48,4,0,38
28,2,0,29
27,2,0,28
18,3,0,28
37,1,0,38
39,3,0,29
49,3,0,59
80,4,0,70
70,2,0,70
98,1,0,97
66,1,0,65
66,4,0,56
55,1,0,54
45,1,0,44
77,4,0,76
63,3,0,73
73,1,0,72
72,1,0,71
93,1,0,92
82,2,0,83
41,1,0,41
24,1,0,14
99,4,0,98
68,3,0,67
77,3,0,78
80,4,0,70
39,3,0,38
48,3,0,58
58,4,0,59
66,3,0,76
86,3,0,96
97,1,0,96
85,2,0,95
91,1,0,91
83,1,0,73
56,1,0,55
44,4,0,45
45,4,0,55
54,1,0,53
54,4,0,53
85,3,0,84
66,3,0,76
63,2,0,64
74,1,0,73
92,3,0,92
63,2,0,64
73,1,0,72
71,1,0,71
54,4,0,53
2,2,0,1
21,4,0,22
21,1,0,21
41,1,0,41
52,2,0,53
52,4,0,42
34,3,0,44
44,3,0,54
31,3,0,41
31,3,0,41
71,1,0,71
64,3,0,74
23,4,3,13
2,1,0,1
16,3,0,6
6,4,0,6
3,2,0,4
3,1,0,2
2,1,0,12
20,1,0,19
19,2,0,20
10,4,0,10
38,3,0,48
48,3,0,47
37,4,0,36
39,1,0,49
40,1,0,50
50,2,0,50
50,2,0,50
50,3,0,60
50,3,0,60
60,3,0,70
59,2,0,60
59,2,0,69
70,1,0,69
49,2,0,48
38,2,0,28
86,4,0,96
96,4,0,86
74,2,0,73
33,2,0,43
11,2,0,1
21,4,0,11
21,3,0,31
82,4,0,81
31,4,0,21
3,2,0,4
5,4,0,5
22,3,0,32
51,2,0,52
22,2,0,23
3,2,0,4
4,1,0,3
1,4,0,1
21,1,0,21
22,4,0,23
34,3,0,44
34,2,0,35
35,4,0,45
55,2,0,56
56,1,0,55
71,2,0,72
41,3,0,51
51,1,0,51
73,3,0,83
94,1,0,95
94,2,0,95
83,1,0,82
100,4,0,90
90,1,0,100
90,4,0,80
80,2,0,80
69,4,0,59
27,4,0,17
2,2,0,3
2,1,0,3
3,2,0,4
26,4,0,16
25,4,0,24
24,3,0,23
24,2,0,34
24,4,0,25
42,2,0,43
54,2,0,64
53,2,0,54
54,3,0,44
44,1,0,43
63,2,0,62
61,2,0,71
96,3,0,96
65,1,0,75
100,1,0,99
95,1,0,94
94,4,0,93
93,3,0,93
93,3,0,93
82,3,0,92
93,4,0,83
55,2,0,56
75,3,0,65
55,1,0,56
59,4,0,49
87,2,0,88
78,2,10,77
79,4,0,69
99,1,0,100
89,1,0,79
79,1,0,80
78,3,10,77
80,2,0,80
100,4,0,90
57,4,0,47
26,2,0,27
37,1,0,27
27,1,0,28
83,2,0,93
53,1,0,52
42,4,0,32
1,1,0,1
11,3,0,12
14,1,0,13
14,3,0,24
96,4,0,86
70,2,0,70
90,1,0,100
49,2,0,50
89,3,0,99
98,1,0,99
88,3,0,98
54,2,0,55
65,4,0,55
69,3,0,68
50,2,0,50
59,2,0,60
68,4,0,58
55,4,0,65
77,1,0,67
13,4,0,3
23,4,3,33
33,4,0,23
72,1,0,71
83,3,0,82
72,3,0,82
62,2,0,63
43,2,0,44
44,4,0,34
34,4,0,24
97,2,0,98
66,2,0,56
55,2,0,56
32,1,0,42
32,2,0,31
74,4,0,64
74,3,0,84
85,4,0,84
54,4,0,44
54,2,0,55
71,2,0,61
63,1,0,64
61,3,0,62
54,1,0,53
42,2,0,43
43,4,0,33
35,4,0,25
25,1,0,24
23,2,3,24
35,3,0,34
52,1,0,51
5,2,0,15
26,1,0,25
43,2,0,44
47,4,0,37
47,4,0,57
65,2,0,55
22,3,0,21
21,4,0,11
24,3,0,34
25,3,0,35
25,1,0,26
28,4,0,18
18,3,0,28
28,4,0,18
7,3,0,17
27,2,0,28
28,2,0,29
28,4,0,27
26,3,0,36
48,1,0,47
47,1,0,37
24,1,0,23
23,4,3,13
12,3,0,22
22,2,0,21
11,3,0,12
13,4,0,23
46,1,0,45
56,3,0,66
76,4,0,66
64,3,0,74
77,2,0,67
67,2,0,68
62,2,0,63
71,4,0,61
61,2,0,71
72,2,0,73
73,1,0,72
51,4,0,61
51,4,0,41
31,2,0,32
32,2,0,33
33,4,0,34
57,4,0,67
60,1,0,50
40,3,0,30
30,3,0,20
10,2,0,10
9,2,0,8
19,1,0,18
8,1,0,7
7,1,0,6
18,2,0,19
63,4,0,62
38,1,0,48
14,2,0,24
35,4,0,25
63,2,0,64
27,4,0,26
15,3,0,25
25,3,0,35
36,1,0,35
35,2,0,45
47,3,0,37
38,3,0,48
17,2,0,18
20,3,0,30
80,2,0,80
86,4,0,76
41,4,0,31
51,1,0,51
42,4,0,32
42,4,0,52
51,4,0,41
74,3,0,73
32,4,0,42
32,3,0,33
16,1,0,26
25,2,0,35
47,1,0,46
46,3,0,56
56,1,0,55
64,2,0,65
55,2,0,56
46,2,0,47
27,4,0,17
17,2,0,27
39,1,0,38
27,3,0,37
46,2,0,47
4,4,0,4
3,2,0,4
33,1,0,32
5,3,0,4
4,2,0,3
13,2,0,12
55,4,0,65
67,3,0,68
89,4,0,79
92,2,0,82
82,3,0,92
67,3,0,68
60,1,0,59
29,1,0,30
30,1,0,29
40,4,0,30
76,2,0,77
78,3,10,77
77,1,0,76
75,1,0,74
64,4,0,54
65,1,0,75
25,3,0,35
45,3,0,55
84,1,0,94
76,1,0,77
86,2,0,87
98,4,0,88
98,2,0,88
76,4,0,86
85,2,0,86
86,4,0,76
76,4,0,66
11,1,0,11
34,1,0,44
35,2,0,36
18,2,0,8
7,4,0,7
68,3,0,58
66,3,0,76
76,3,0,66
59,4,0,69
69,1,0,68
24,4,0,23
35,1,0,36
36,4,0,26
26,1,0,25
25,2,0,15
15,1,0,16
24,4,0,34
34,3,0,44
54,4,0,44
7,1,0,6
6,1,0,5
4,1,0,3
23,2,3,22
22,2,0,21
22,1,0,32
31,2,0,41
72,2,0,73
38,4,0,28
39,4,0,29
20,1,0,30
30,4,0,20
69,4,0,59
65,4,0,55
62,2,0,61
23,3,3,13
14,1,0,24
14,1,0,13
33,3,0,43
31,3,0,21
41,3,0,51
25,1,0,24
44,4,0,43
43,1,0,53
71,3,0,81
82,1,0,81
91,3,0,91
81,2,0,82
21,3,0,22
32,4,0,31
32,2,0,33
42,4,0,32
3,4,0,3
6,3,0,5
2,3,0,12
38,1,0,28
28,4,0,18
18,4,0,8
7,1,0,6
81,2,0,82
83,4,0,84
46,3,0,56
72,4,0,62
51,3,0,61
72,2,0,73
73,1,0,72
64,4,0,63
14,3,0,24
34,3,0,35
52,3,0,62
72,4,0,73
73,2,0,63
83,2,0,84
91,3,0,91
71,4,0,61
73,2,0,63
63,3,0,53
83,4,0,73
82,4,0,83
93,2,0,83
92,1,0,91
83,2,0,93
93,1,0,92
82,3,0,72
25,2,0,26
34,1,0,33
64,1,0,65
44,3,0,45
44,2,0,34
46,4,0,56
29,2,0,30
40,3,0,50
60,2,0,60
46,2,0,47
79,1,0,78
53,3,0,63
64,2,0,65
66,3,0,76
75,1,0,74
95,3,0,95
93,1,0,92
82,3,0,81
81,2,0,82
73,3,0,72
9,2,0,19
29,1,0,28
10,3,0,9
40,3,0,50
66,1,0,56
56,4,0,66
66,2,0,67
86,2,0,87
85,3,0,95
65,2,0,66
97,1,0,87
100,4,0,99
89,1,0,88
7,4,0,7
8,2,0,9
30,2,0,30
49,1,0,48
49,3,0,59
49,2,0,50
50,1,0,49
39,2,0,49
28,2,0,29
40,2,0,40
20,4,0,10
10,3,0,9
15,3,0,25
24,1,0,23
72,3,0,82
42,2,0,43
43,4,0,53
32,4,0,42
41,1,0,41
99,3,0,99
66,2,0,67
57,4,0,58
40,3,0,39
38,2,0,39
70,4,0,60
